"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ177010","8994.325","3419.47","252522","475.08","24.675","0.028","17137.638","349.748","84.311","3439.813","1134.7","5522.263","2143.998","9026.987","3436.697","11183.859","4176.887","8994.325","3419.47"
"MVZ58402","5102.89","2669.817","377733","381.702","26.909","0.029","13271.998","270.857","71.415","2432.765","1073.885","3455.27","1755.257","5284.057","2695.067","6013.293","3186.048","5102.89","2669.817"
"MVZ132294","9237.014","3230.388","358462","397.544","22.627","0.027","14563.54","297.215","70.563","4258.032","1594.307","6458.627","2193.047","9366.174","3258.19","10801.626","3748.776","9237.014","3230.388"
"MVZ132295","8525.949","3357.348","419207","444.821","26.909","0.027","16286.253","332.373","68.88","3689.582","1366.966","6050.865","2446.585","8683.562","3426.282","9857.918","3774.481","8525.949","3357.348"
"MVZ162686","11652.46","4073.332","382167","554.034","24.675","0.028","20012.664","408.422","95.616","4937.009","1687.427","8020.424","2890.373","11700.121","4113.051","13806.213","4700.193","11652.46","4073.332"
"MVZ162687","8095.879","3995.699","380794","567.71","22.627","0.029","19878.019","405.674","105.668","3430.791","1488.46","5570.914","2718.883","8233.483","4031.834","9516.265","4667.613","8095.879","3995.699"
"MVZ162689","9928.695","3222.551","464201","438.658","29.344","0.027","16339.35","333.456","66.247","4185.767","1416.663","6887.032","2392.326","9929.844","3277.945","11878.222","3668.589","9928.695","3222.551"
"MVZ162691","10004.834","3766.772","441181","511.199","29.344","0.027","18806.244","383.801","82.479","4142.293","1530.514","6998.363","2734.09","10130.191","3842.971","11670.01","4253.261","10004.834","3766.772"
"MVZ165396","6737.089","3141.485","277875","469.113","24.675","0.029","16093.061","328.43","92.216","2883.383","1188.954","4713.599","2187.793","6922.877","3191.706","7799.349","3594.555","6737.089","3141.485"
"MVZ165398","9984.54","3417.393","417494","439.846","22.627","0.026","16971.126","346.35","60.163","4319.465","1353.309","6769.119","2359.895","10014.41","3450.417","11987.17","4031.283","9984.54","3417.393"
"MVZ165400","7810.056","3565.668","340558","513.402","24.675","0.029","17832.827","363.935","95.281","3479.784","1443.494","5618.55","2611.965","7982.784","3633.825","8963.916","3991.494","7810.056","3565.668"
"MVZ165401","7526.339","3537.22","399627","474.883","26.909","0.028","17183.691","350.688","84.724","3165.231","1295.919","5141.406","2423.152","7669.701","3580.509","8869.351","4089.614","7526.339","3537.22"
"MVZ165402","9483.686","3700.28","359496","521.588","22.627","0.028","18386.668","375.238","88.484","4290.139","1655.727","6700.902","2726.968","9544.316","3731.616","11175.556","4227.754","9483.686","3700.28"
"MVZ180084","7713.581","2941.922","455674","412.39","26.909","0.028","14782.425","301.682","61.839","3438.907","1262.577","5312.679","2033.077","7797.119","2969.577","9188.451","3477.47","7713.581","2941.922"
"MVZ180088","7726.444","3433.437","386038","469.637","26.909","0.028","16867.977","344.244","86.399","3475.838","1577.741","5200.58","2352.561","7824.388","3403.607","9253.102","4123.748","7726.444","3433.437"
"MVZ180089","6703.511","3047.243","383602","463.005","26.909","0.03","15687.811","320.159","86.776","2993.793","1205.429","4564.401","1988.566","6843.768","3078.274","7938.829","3605.14","6703.511","3047.243"
"MVZ180090","7724.659","3456.024","383457","482.871","24.675","0.028","17496.276","357.067","81.228","3172.731","1356.658","5387.511","2394.123","7889.535","3495.209","8981.845","4017.07","7724.659","3456.024"
"MVZ165717","10438.364","3864.823","378579","530.478","29.344","0.028","18672.388","381.069","92.628","4175.513","1326.075","6958.044","2528.558","10555.948","3945.225","12398.272","4486.397","10438.364","3864.823"
"MVZ165718","9285.239","3853.09","311210","541.575","24.675","0.028","19265.324","393.17","98.392","4001.345","1662.211","6435.567","2783.871","9436.888","3918.263","10834.843","4345.262","9285.239","3853.09"
"MVZ165720","10544.906","3149.322","327605","460.759","26.909","0.029","16014.718","326.831","79.159","4249.564","1334.869","7010.224","2243.266","10587.745","3189.65","12690.535","3677.771","10544.906","3149.322"
"MVZ165729","11457.551","3571.182","335799","509.58","29.344","0.028","18386.55","375.236","71.683","4240.969","1264.388","7758.448","2465.074","11577.902","3670.457","13493.268","4073.135","11457.551","3571.182"
"MVZ165730","8940.967","3383.976","276761","457.719","32","0.027","17050.443","347.968","65.419","3848.84","1227.514","6052.145","2260.121","9060.177","3453.84","10596.593","3929.729","8940.967","3383.976"
"MVZ1066","14758.605","4664.064","336074","651.368","29.344","0.029","22510.016","459.388","127.557","6348.643","1796.6","9988.998","3168.467","14766.113","4723.36","17585.076","5426.532","14758.605","4664.064"
"MVZ74244","14128.39","4744.657","279376","541.979","26.909","0.027","20209.446","412.438","84.053","5467.159","1801.025","9292.287","3214.844","14179.76","4788.336","16913.677","5538.175","14128.39","4744.657"
"MVZ74245","12212.158","3734.981","380851","502.219","34.896","0.027","18564.258","378.862","78.607","5036.232","1441.138","8147.647","2473.048","12233.866","3800.564","14667.114","4426.601","12212.158","3734.981"
"MVZ74248","13929.953","3780.651","332505","528.714","20.749","0.027","19493.756","397.832","81.8","6034.409","1562.231","9497.784","2580.384","13887.65","3835.896","16683.957","4494.441","13929.953","3780.651"
"MVZ74249","12992.553","4122.953","327801","551.437","24.675","0.027","20142.087","411.063","109.323","5336.447","1555.98","8650.432","2724.761","12967.727","4176.014","15683.431","4875.717","12992.553","4122.953"
