"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ102614",14.625,55,32.65,12.35,1.196250007,20.275,51.2715004775,2.82699996675,17.575,22.85,12.4,6.425,29.85,27.5,1.3,5.022499943,0,5.65,0.475
"MVZ102623",14.075,48.8,37.3,13.9,1.1177500034,20.75,57.10024989,3.315999954,16.375,21.575,11.65,7.55,36.75,20.325,1.55,5.197499872,0,4.925,0.75
"MVZ158333",12.3,38.7,42.9,18.4,0.8010000044,23.5,128.75099957,7.08499985,14.6,39.2,35.8,37.9,84.5,0,1.2,6.589999911,0,4,1
"MVZ42658",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ42659",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ82368",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ102618",12.1,41.4,41.36,17.24,1.25779998764,18.64,32.8575999966,2.37159997446,13.72,20.3,19.32,16.82,70.72,6.94,1.44,6.3039999478,5.58,6.64,1.1
"MVZ158332",12.3,38.7,42.9,18.4,0.8010000044,23.5,128.75099957,7.08499985,14.6,39.2,35.8,37.9,84.5,0,1.2,6.589999911,0,4,1
"MVZ158334",12.3,38.7,42.9,18.4,0.8010000044,23.5,128.75099957,7.08499985,14.6,39.2,35.8,37.9,84.5,0,1.2,6.589999911,0,4,1
"MVZ158335",12.3,38.7,42.9,18.4,0.8010000044,23.5,128.75099957,7.08499985,14.6,39.2,35.8,37.9,84.5,0,1.2,6.589999911,0,4,1
"MVZ158337",12.3,38.7,42.9,18.4,0.8010000044,23.5,128.75099957,7.08499985,14.6,39.2,35.8,37.9,84.5,0,1.2,6.589999911,0,4,1
"MVZ59518",13.64,61.43,22.9366666666667,15.6333333333333,1.43873336956667,15.5633333333333,6.18900001813333,0.635733326643333,9.8,11.4066666666667,24.0433333333333,22.0333333333333,88.2933333333333,0,2.33666666666667,7.3679999803,57.9666666666667,15.23,0.98
"MVZ59534",13.17,50.125,28.56,21.315,1.47265002015,15.245,5.89764988515,0.709499999665,8.895,16.895,36.685,36.82,99.57,0,3.655,7.99599989805,97.71,16.29,1.225
